lulc_id,lulc_description,ind_desc,long_desc,shorthand,usle_c,usle_p,root_depth,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12,CN_A,CN_B,CN_C,CN_D,Rk,protective_distance,notes
12,Primary Mangrove Forest,Hutan Mangrove Primer,"Mangroves, nipahs, and nibung forests around the coast that have not yet revealed traces of logging. In some locations, mangrove forests are more inland",Mangrove Forest,0.0001,1,2100,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,98,98,98,98,1,2000,
13,Primary Swamp Forest,Hutan Rawa Primer,"All forest appearances in swampy areas, including brackish swamps and peat bogs that have not yet revealed traces of logging",Mangrove Forest,0.0001,1,2100,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,98,98,98,98,1,2000,
14,Savannah/Meadows,Savana/Padang Rumput,"Non-natural forest appearance is a meadow, sometimes with few shrubs or trees. This appearance is a natural appearance in parts of Southeast Sulawesi, East Nusa Tenggara and the southern part of Papua.",Grassland,0.05,1,2100,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,35,56,70,77,3,1000,
15,Secondary DryLand Forest,Hutan Lahan Kering Sekunder,"The entire appearance of lowland forests, hills, and mountains that have revealed traces of logging (the appearance of grooves and patches of cut marks). Former severe logging is not forest plantation area, plantation or farm included open land",Halfway between Forest and Shrub,0.00505,1,3650,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,35.5,58,71.5,78,3,1000,
16,Secondary Mangrove Forest,Hutan Mangrove Sekunder,"Mangroves, nipahs, and nibung forests around the coast that have shown traces of development with patterns of grooves, patches, and puddles. Especially for former logging that has changed its function to ponds / rice fields are classified into ponds / rice fields",Halfway between Mangrove and Swamp,0.0003,1,2100,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,98,98,98,98,2,1000,
17,Secondary Swamp Forest,Hutan Rawa Sekunder,"All forest appearances in swampy areas, including brackish swamps and peat bogs, have revealed traces of logging. Severe logging marks if they do not show signs of inundation (water coverage) are classified as open ground while if they show traces of inundation or inundation, they are classified as water bodies (swamps)",Halfway between Mangrove and Swamp,0.0003,1,2100,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,98,98,98,98,2,1000,
18,Settlements,Permukiman,"Residential areas, whether urban, rural, industrial etc. Which shows the flow pattern of the meeting.",Built-up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,,"assuming paved so doesn't generate any sediment (hence p = 0), but doesn't hang onto anything either (hence c = 1)"
19,Shrubs,Semak Belukar,Regrown areas of former dryland forests or areas with sparse (natural) tree coverage or areas with a predominance of low vegetation (natural). This area usually does not show any more logging traces / spots,Brush/Shrubs,0.01,1,2100,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,35,56,70,77,3,1000,
20,Swamp,Rawa,The appearance of swampland that is no longer forested,Marshland/Swamp,0.0005,1,2100,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,98,98,98,98,2,1000,"since mangrove Kc is 10% higher than forest kc, making marshland Kc 10% higher than herbaceous kc"
21,Transmigration,Transmigrasi,"The entire area, whether cultivated or not, includes agricultural areas, cultivation and settlements in it.",Halfway between bare and agriculture,0.375,1,1550,0.2,0.2,0.55,0.55,0.6,0.5,0.2,0.55,0.55,0.525,0.515,0.5,41.5,41.5,41.5,41.5,5,,
22,Water Body,Tubuh Air,"All water catchments, including seas, rivers, lakes, reservoirs, coral reefs, seagrass beds etc. The appearance of ponds, rice fields and swamps is classified separately.",Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,,
,Pelabuhan,Harbor,,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,,
96,Infra impacts 25-50 km out,,,Like Annual Crop,0.25,1,2100,0.4,0.4,1.1,1.1,1.2,1,0.4,1.1,1.1,1.05,1.03,1,82,82,82,82,5,,
98,Infra impacts 5-25 km out,,,Like Transmigration,0.375,1,1550,0.2,0.2,0.55,0.55,0.6,0.5,0.2,0.55,0.55,0.525,0.515,0.5,41.5,41.5,41.5,41.5,5,,
99,Infra impacts 1-5 km out,,,Like Bare,0.5,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,,
